"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
548,"4513657245",2025-11-04 10:11:12.777,2025-11-04 10:11:12.777,ES755-A2501,,AC2510081138|3KF43402LF11,,1,AC2510081138|3KF43402LF11,false,
547,"4513657245",2025-11-04 10:10:06.467,2025-11-04 10:10:06.467,ES755-A2501,,AC2510081120|3KF43402LF11,,1,AC2510081120|3KF43402LF11,false,
546,"4513657245",2025-11-04 10:08:07.145,2025-11-04 10:08:07.145,ES755-A2501,,AC2510081133|3KF43402LF11,,1,AC2510081133|3KF43402LF11,false,
545,"4513657245",2025-11-04 10:06:50.548,2025-11-04 10:06:50.548,ES755-A2501,,AC2510081129|3KF43402LF11,,1,AC2510081129|3KF43402LF11,false,
544,"4513657245",2025-11-04 10:05:42.302,2025-11-04 10:05:42.302,ES755-A2501,,AC2510081124|3KF43402LF11,,1,AC2510081124|3KF43402LF11,false,
543,"4513657245",2025-11-04 10:04:40.837,2025-11-04 10:04:40.837,ES755-A2501,,AC2510081135|3KF43402LF11,,1,AC2510081135|3KF43402LF11,false,
542,"4513657245",2025-11-04 10:02:58.978,2025-11-04 10:02:58.978,ES755-A2501,,AC2510081131|3KF43402LF11,,1,AC2510081131|3KF43402LF11,false,
541,"4513657245",2025-11-04 10:02:21.771,2025-11-04 10:02:21.771,ES755-A2501,,"3KF5363-0MF11",,1,"",false,
540,"4513657245",2025-11-04 09:46:33.148,2025-11-04 09:46:33.148,ES755-A2501,,AC2510081119,,1,AC2510081119,false,
539,"4513657245",2025-11-04 09:40:54.788,2025-11-04 09:40:54.788,ES755-A2501,,AC2510071051,,1,AC2510071051,false,
538,"4513657245",2025-11-04 09:35:26.467,2025-11-04 09:35:26.467,ES755-A2501,,"1P3VA1132-5EE32-0AA0",,1,SAC/250930000272,false,
537,"4513657245",2025-11-04 09:34:47.976,2025-11-04 09:34:47.976,ES755-A2501,,"1P3VA1116-5EE32-0AA0",,1,SAC/250929000291,false,
536,"4513657245",2025-11-04 09:33:49.866,2025-11-04 09:33:49.866,ES755-A2501,,"1P3VA1110-5EE32-0AA0",,1,SAC/250929001309,false,
535,"4513657245",2025-11-04 09:32:59.776,2025-11-04 09:32:59.776,ES755-A2501,,"1P3VA1163-5EE32-0AA0",,1,SAC/250929001306,false,
534,"4513657245",2025-11-04 09:31:42.204,2025-11-04 09:31:42.204,ES755-A2501,,AC2509301090|3KF23122LF11,,1,AC2509301090|3KF23122LF11,false,
533,"4513657245",2025-11-04 09:30:17.223,2025-11-04 09:30:17.223,ES755-A2501,,AC2509301089|3KF23122LF11,,1,AC2509301089|3KF23122LF11,false,
532,"4513657245",2025-11-04 09:28:52.346,2025-11-04 09:28:52.346,ES755-A2501,,AC2509301095|3KF23122LF11,,1,AC2509301095|3KF23122LF11,false,
531,"4513657245",2025-11-04 09:25:44.084,2025-11-04 09:25:44.084,ES755-A2501,,AC2509301093|3KF23122LF11,,1,AC2509301093|3KF23122LF11,false,
